          time         x         y         w         h      conf  frame_count
0     0.000000  0.286936  0.490993  0.013969  0.025142  0.766748            0
1     0.020000  0.286934  0.490989  0.013955  0.025111  0.766973            1
2     0.040000  0.285422  0.486505  0.013925  0.025177  0.801805            2
3     0.060000  0.284302  0.485118  0.013915  0.025193  0.801782            3
4     0.080000  0.283228  0.481070  0.013881  0.025424  0.767805            4
5     0.100000  0.282193  0.479834  0.013880  0.025514  0.767831            5
6     0.120000  0.281111  0.477355  0.014004  0.025310  0.777071            6
7     0.140000  0.279987  0.476554  0.014052  0.025237  0.777058            7
8     0.160000  0.279289  0.474597  0.013789  0.025394  0.775658            8
9     0.180000  0.278285  0.473950  0.013687  0.025443  0.775954            9
10    0.200000  0.277664  0.473031  0.014305  0.025860  0.788523           10
11    0.220000  0.276666  0.472772  0.014532  0.026018  0.788510           11
12    0.240000  0.275897  0.470149  0.014355  0.026369  0.784329           12
13    0.260000  0.274862  0.469264  0.014283  0.026496  0.784483           13
14    0.280000  0.274689  0.464897  0.014142  0.025932  0.784010           14
15    0.300000  0.273872  0.463339  0.014098  0.025729  0.784364           15
16    0.320000  0.273461  0.459352  0.014143  0.025565  0.782678           16
17    0.340000  0.272547  0.457955  0.014159  0.025501  0.782566           17
18    0.360000  0.272332  0.454712  0.013711  0.024874  0.767444           18
19    0.380000  0.271495  0.453699  0.013540  0.024631  0.767572           19
20    0.400000  0.271176  0.450911  0.013053  0.023959  0.787550           20
21    0.420000  0.270320  0.449976  0.012874  0.023709  0.787500           21
22    0.440000  0.269779  0.448517  0.012778  0.023320  0.782286           22
23    0.460000  0.268895  0.448097  0.012751  0.023188  0.782271           23
24    0.480000  0.268169  0.447097  0.012953  0.023269  0.789943           24
25    0.500000  0.267265  0.446833  0.013038  0.023317  0.789908           25
26    0.520000  0.267096  0.443923  0.013271  0.023993  0.800370           26
27    0.540000  0.266446  0.442870  0.013359  0.024243  0.800554           27
28    0.560000  0.266209  0.439519  0.013275  0.024506  0.785270           28
29    0.580000  0.265585  0.438303  0.013230  0.024584  0.785513           29
30    0.600000  0.265287  0.435663  0.013453  0.024720  0.765183           30
31    0.620000  0.264638  0.434748  0.013585  0.024859  0.764991           31
32    0.640000  0.264477  0.432550  0.013412  0.024419  0.786601           32
33    0.660000  0.263888  0.431847  0.013362  0.024274  0.786519           33
34    0.680000  0.263974  0.430132  0.013173  0.024081  0.753528           34
35    0.700000  0.263407  0.429613  0.013115  0.024034  0.753486           35
36    0.720000  0.263099  0.429050  0.012809  0.022629  0.755875           36
37    0.740000  0.262467  0.429013  0.012701  0.022101  0.756289           37
38    0.760000  0.264384  0.427051  0.011861  0.020668  0.763973           38
39    0.780000  0.264634  0.426462  0.011540  0.020147  0.763350           39
40    0.800000  0.267683  0.424589  0.011923  0.020852  0.765715           40
41    0.820000  0.268308  0.423996  0.012052  0.021096  0.765803           41
42    0.840000  0.271296  0.422794  0.012483  0.021795  0.733060           42
43    0.860000  0.271984  0.422414  0.012652  0.022073  0.733106           43
44    0.880000  0.274976  0.422327  0.012774  0.021787  0.746660           44
45    0.900000  0.275728  0.422324  0.012819  0.021677  0.746822           45
46    0.920000  0.278640  0.423266  0.013165  0.023117  0.778182           46
47    0.940000  0.279374  0.423575  0.013306  0.023667  0.778046           47
48    0.960000  0.282317  0.424020  0.013334  0.023922  0.785036           48
49    0.980000  0.283062  0.424113  0.013357  0.024030  0.784785           49
50    1.000000  0.285235  0.423412  0.013230  0.023840  0.759250           50
51    1.020000  0.285648  0.423066  0.013190  0.023769  0.759226           51
52    1.040000  0.287958  0.422398  0.013521  0.024199  0.767056           52
53    1.060000  0.288457  0.422071  0.013643  0.024354  0.766716           53
54    1.080000  0.290629  0.421986  0.013143  0.023950  0.767097           54
55    1.100000  0.291056  0.421863  0.012963  0.023817  0.766857           55
56    1.120000  0.293042  0.421836  0.013044  0.023540  0.759272           56
57    1.140000  0.293428  0.421674  0.013084  0.023463  0.759105           57
58    1.160000  0.294950  0.421148  0.012986  0.023687  0.770480           58
59    1.180000  0.295248  0.420822  0.012924  0.023732  0.770545           59
60    1.200000  0.296472  0.420589  0.012940  0.023364  0.791598           60
61    1.220000  0.296780  0.420384  0.012911  0.023154  0.792414           61
62    1.240000  0.297326  0.420242  0.012908  0.022792  0.777988           62
63    1.260000  0.297515  0.420132  0.012946  0.022728  0.778630           63
64    1.280000  0.297849  0.419953  0.013237  0.023141  0.763443           64
65    1.300000  0.298039  0.419777  0.013030  0.023219  0.763276           65
66    1.320000  0.298144  0.419368  0.013002  0.023314  0.772409           66
67    1.340000  0.298254  0.419176  0.012988  0.023347  0.772564           67
68    1.360000  0.298454  0.418591  0.012944  0.023067  0.784105           68
69    1.380000  0.298593  0.418360  0.012942  0.022984  0.784355           69
70    1.400000  0.299134  0.418262  0.013056  0.023438  0.792778           70
71    1.420000  0.299363  0.418254  0.013097  0.023609  0.792756           71
72    1.440000  0.299846  0.417764  0.013012  0.023300  0.793930           72
73    1.460000  0.300039  0.417608  0.013002  0.023211  0.793559           73
74    1.480000  0.300469  0.417345  0.012691  0.022752  0.791004           74
75    1.500000  0.300630  0.417209  0.012565  0.022586  0.791573           75
76    1.520000  0.300978  0.416845  0.012484  0.022159  0.753001           76
77    1.540000  0.301127  0.416636  0.012467  0.022028  0.752432           77
78    1.560000  0.301165  0.416242  0.012796  0.023018  0.755986           78
79    1.580000  0.301230  0.415975  0.012886  0.023337  0.755835           79
80    1.600000  0.301305  0.416026  0.013043  0.023420  0.743528           80
81    1.620000  0.301403  0.415939  0.013096  0.023454  0.743737           81
82    1.640000  0.301247  0.415825  0.013305  0.023715  0.742811           82
83    1.660000  0.301309  0.415660  0.013359  0.023765  0.742847           83
84    1.680000  0.301349  0.415121  0.012909  0.023088  0.725722           84
85    1.700000  0.301513  0.414789  0.012713  0.022790  0.725597           85
86    1.720000  0.302887  0.413716  0.012825  0.022508  0.699071           86
87    1.740000  0.303562  0.413242  0.012881  0.022417  0.696899           87
88    1.760000  0.311547  0.406193  0.011056  0.020694  0.625990           88
89    1.780000  0.311555  0.406195  0.011116  0.020786  0.615857           89
90    1.800000  0.318218  0.401159  0.013015  0.022880  0.733621           90
91    1.820000  0.318215  0.401157  0.012979  0.022813  0.733834           91
92    1.840000  0.324653  0.395591  0.013544  0.023835  0.804246           92
93    1.860000  0.324661  0.395587  0.013525  0.023795  0.805278           93
94    1.880000  0.330958  0.391044  0.013077  0.022956  0.765795           94
95    1.900000  0.330951  0.391033  0.013081  0.022969  0.765756           95
96    1.920000  0.337778  0.386010  0.013703  0.023965  0.777164           96
97    1.940000  0.337797  0.385988  0.013757  0.024054  0.775400           97
98    1.960000  0.342269  0.382747  0.013464  0.024049  0.781731           98
99    1.980000  0.343877  0.381498  0.013353  0.024016  0.781847           99
100   2.000000  0.348645  0.378023  0.013599  0.024225  0.775303          100
101   2.020000  0.350197  0.376790  0.013695  0.024310  0.775312          101
102   2.040000  0.354438  0.374145  0.013738  0.024402  0.783427          102
103   2.060000  0.355944  0.373098  0.013753  0.024430  0.783263          103
104   2.080000  0.360111  0.370321  0.013460  0.023961  0.752248          104
105   2.100000  0.361639  0.369205  0.013355  0.023784  0.752273          105
106   2.120000  0.365561  0.366208  0.013303  0.023682  0.789239          106
107   2.140000  0.367004  0.364951  0.013289  0.023655  0.789174          107
108   2.160000  0.370565  0.362563  0.012931  0.023425  0.784439          108
109   2.180000  0.371930  0.361491  0.012809  0.023354  0.783838          109
110   2.200000  0.375325  0.359362  0.013042  0.023435  0.783882          110
111   2.220000  0.376670  0.358392  0.013125  0.023463  0.784114          111
112   2.240000  0.380056  0.355483  0.012692  0.021999  0.762799          112
113   2.260000  0.381379  0.354254  0.012529  0.021445  0.762600          113
114   2.280000  0.385041  0.351349  0.011416  0.020211  0.775826          114
115   2.300000  0.386412  0.350208  0.011012  0.019787  0.775563          115
116   2.320000  0.389233  0.348642  0.011919  0.021369  0.746526          116
117   2.340000  0.390361  0.347945  0.012274  0.022001  0.746769          117
118   2.360000  0.393395  0.346361  0.012438  0.022297  0.758667          118
119   2.380000  0.394601  0.345676  0.012507  0.022424  0.758696          119
120   2.400000  0.397168  0.343499  0.012451  0.022215  0.773040          120
121   2.420000  0.398195  0.342602  0.012432  0.022142  0.773947          121
122   2.440000  0.400784  0.340085  0.012045  0.021645  0.764963          122
123   2.460000  0.401780  0.339076  0.011889  0.021453  0.765344          123
124   2.480000  0.404445  0.337237  0.012384  0.022058  0.808787          124
125   2.500000  0.405483  0.336522  0.012564  0.022285  0.809274          125
126   2.520000  0.407950  0.334872  0.012250  0.021807  0.787339          126
127   2.540000  0.408931  0.334251  0.012125  0.021618  0.787251          127
128   2.800000  0.387758  0.331147  0.010652  0.019076  0.782503          140
129   2.820000  0.387758  0.331141  0.010639  0.019048  0.782015          141
130   2.840000  0.384337  0.333495  0.010984  0.019426  0.767613          142
131   2.860000  0.383277  0.334175  0.011193  0.019699  0.769242          143
132   2.880000  0.379883  0.336640  0.011109  0.019425  0.784030          144
133   2.900000  0.378875  0.337323  0.011091  0.019351  0.783776          145
134   2.920000  0.375092  0.340122  0.011394  0.019181  0.761905          146
135   2.940000  0.373826  0.340922  0.011487  0.019097  0.761502          147
136   2.960000  0.370656  0.345897  0.011362  0.020266  0.796856          148
137   2.980000  0.369539  0.347566  0.011297  0.020630  0.797326          149
138   3.000000  0.366070  0.352481  0.011935  0.021921  0.762415          150
139   3.020000  0.364801  0.354219  0.012157  0.022390  0.762173          151
140   3.040000  0.361919  0.359093  0.012685  0.022520  0.771264          152
141   3.060000  0.360872  0.360898  0.012889  0.022574  0.770700          153
142   3.080000  0.357719  0.364823  0.012654  0.022269  0.781991          154
143   3.100000  0.356573  0.366288  0.012569  0.022171  0.781838          155
144   3.120000  0.354031  0.366045  0.012488  0.022087  0.781218          156
145   3.140000  0.353124  0.365958  0.012447  0.022038  0.781593          157
146   3.160000  0.350526  0.365935  0.012277  0.022008  0.795099          158
147   3.180000  0.349578  0.365908  0.012202  0.021982  0.795128          159
148   3.200000  0.346804  0.366506  0.012274  0.022119  0.805294          160
149   3.220000  0.345759  0.366753  0.012277  0.022136  0.805790          161
150   3.240000  0.343205  0.368062  0.012951  0.022989  0.776407          162
151   3.260000  0.342196  0.368596  0.013207  0.023320  0.776665          163
152   3.280000  0.339711  0.370274  0.013153  0.023611  0.748760          164
153   3.300000  0.338702  0.370969  0.013127  0.023719  0.748354          165
154   3.320000  0.336313  0.373407  0.013036  0.023172  0.781673          166
155   3.340000  0.335309  0.374364  0.013020  0.022981  0.781556          167
156   3.360000  0.333057  0.377838  0.013385  0.023888  0.765259          168
157   3.380000  0.332072  0.379162  0.013538  0.024249  0.765034          169
158   3.400000  0.329919  0.381470  0.013308  0.023585  0.795209          170
159   3.420000  0.328995  0.382344  0.013192  0.023283  0.795212          171
160   3.440000  0.327136  0.382429  0.013265  0.023327  0.781116          172
161   3.460000  0.326275  0.382469  0.013275  0.023302  0.781291          173
162   3.480000  0.324426  0.382617  0.013131  0.023036  0.779489          174
163   3.500000  0.323586  0.382696  0.013078  0.022930  0.779331          175
164   3.520000  0.321797  0.383708  0.012926  0.022999  0.775988          176
165   3.540000  0.320995  0.384139  0.012852  0.023002  0.776594          177
166   3.560000  0.319041  0.386016  0.012597  0.022778  0.753693          178
167   3.580000  0.318172  0.386770  0.012500  0.022690  0.754279          179
168   3.600000  0.316373  0.389055  0.012731  0.022950  0.779120          180
169   3.620000  0.315521  0.389935  0.012815  0.023050  0.779236          181
170   3.640000  0.313806  0.391307  0.012306  0.022411  0.769941          182
171   3.660000  0.313012  0.391806  0.012087  0.022120  0.769913          183
172   3.680000  0.311699  0.392379  0.012018  0.022066  0.756754          184
